Use case Name,Description,Log Source,MITRE Tactics,MITRE Technique,SPL
Protocols passing authentication in cleartext,"The following analytic identifies the use of cleartext protocols that risk leaking sensitive information. It detects network traffic on legacy protocols such as Telnet (port 23), POP3 (port 110), IMAP (port 143), and non-anonymous FTP (port 21). The detection leverages the Network_Traffic data model to identify TCP traffic on these ports. Monitoring this activity is crucial as it can expose credentials and other sensitive data to interception.","Palo Alto Firewall, Cisco ASA, Check Point Firewall",,,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Network_Traffic where NOT All_Traffic.action IN (""blocked"", ""block"") AND All_Traffic.transport=""tcp"" AND (All_Traffic.dest_port=""23"" OR All_Traffic.dest_port=""143"" OR All_Traffic.dest_port=""110"" OR (All_Traffic.dest_port=""21"" AND All_Traffic.user != ""anonymous"")) by All_Traffic.user All_Traffic.src_ip All_Traffic.dest All_Traffic.dest_port All_Traffic.rule 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `drop_dm_object_name(""All_Traffic"")` 
| `protocols_passing_authentication_in_cleartext_filter`"
Citrix ADC and Gateway Unauthorized Data Disclosure,"The following analytic detects attempts to exploit the Citrix Bleed vulnerability (CVE-2023-4966), which can lead to the leaking of session tokens. It identifies HTTP requests with a 200 status code targeting the /oauth/idp/.well-known/openid-configuration URL endpoint. By parsing web traffic and filtering based on user agent details, HTTP method, source and destination IPs, and sourcetype, it aims to identify potentially malicious requests.",Zscaler Proxy,"Initial Access, Discovery, Exfiltration",T1190,"| tstats count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where Web.url IN (""*/oauth/idp/.well-known/openid-configuration*"")  Web.status=200 by Web.http_user_agent, Web.status Web.http_method, Web.url, Web.url_length, Web.src, Web.dest, sourcetype 
| `drop_dm_object_name(""Web"")` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `citrix_adc_and_gateway_unauthorized_data_disclosure_filter`"
CrushFTP Authentication Bypass Exploitation,"The following analytic detects potential exploitation of the CrushFTP authentication bypass vulnerability (CVE-2025-31161). This detection identifies suspicious command execution patterns associated with exploitation of this vulnerability, such as executing mesch.exe with specific arguments like b64exec or fullinstall. This activity is indicative of an attacker exploiting CVE-2025-31161 to gain unauthorized access to the CrushFTP server and perform post-exploitation activities.",CrushFTP,"Initial Access, Execution","T1190, T1059.001, T1059.003","`crushftp` 
| rex field=_raw ""\\[HTTP:[^:]+:(?<user>[^:]+):(?<src_ip>[^\\]]+)\\]"" 
| rex field=_raw ""cmd:(?<process>[^\\*\\r\\n]+)"" 
| where isnotnull(process) AND (match(process, ""mesch\.exe"") OR match(process, ""b64exec"") OR match(process, ""fullinstall"") OR match(process, ""run"")) 
| stats count min(_time) as firstTime max(_time) as lastTime by src_ip, user, process 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `crushftp_authentication_bypass_exploitation_filter`"
Exploit Public-Facing Fortinet FortiNAC CVE-2022-39952,"The following analytic detects attempts to exploit the Fortinet FortiNAC CVE-2022-39952 vulnerability. It identifies HTTP POST requests to the URI configWizard/keyUpload.jsp with a payload.zip file. The detection leverages the Web datamodel, analyzing fields such as URL, HTTP method, and user agent. This activity is significant as it indicates an attempt to exploit a known vulnerability, potentially leading to remote code execution.",Zscaler Proxy,"Initial Access, Execution, Command And Control","T1190, T1133","| tstats count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where Web.url IN (""*configWizard/keyUpload.jsp*"") by Web.http_user_agent, Web.status Web.http_method, Web.url, Web.url_length, Web.src, Web.dest, sourcetype 
| `drop_dm_object_name(""Web"")` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `exploit_public_facing_fortinet_fortinac_cve_2022_39952_filter`"
High Volume of Bytes Out to Url,"The following analytic detects a high volume of outbound web traffic, specifically over 1GB of data sent to a URL within a 2-minute window. It leverages the Web data model to identify significant uploads by analyzing the sum of bytes out. This activity is significant as it may indicate potential data exfiltration by malware or malicious insiders.",Zscaler Proxy,Exfiltration,T1567,"| tstats  `security_content_summariesonly` count sum(Web.bytes_out) as sum_bytes_out values(Web.user) as user values(Web.app) as app values(Web.dest) as dest from datamodel=Web by _time span=2m Web.url Web.src sourcetype 
| search sum_bytes_out > 1070000000 
| `drop_dm_object_name(""Web"")`
| `high_volume_of_bytes_out_to_url_filter`"
HTTP Rapid POST with Mixed Status Codes,"This detection identifies rapid-fire POST request attacks where an attacker sends more than 20 POST requests within a 5-second window, potentially attempting to exploit race conditions or overwhelm request handling. The pattern is particularly suspicious when responses vary in size or status codes, indicating successful exploitation attempts or probing for vulnerable endpoints.
Search 1`nginx_access_logs` http_method=&#34;POST&#34; 2| bin _time span=5s 3| rename dest_ip as dest 4| stats count, values(status) as status_codes, values(bytes_out) as bytes_out, values(uri_path) as uris by _time, src_ip, dest, http_user_agent 5| where count&gt;20 6| table _time, dest, src_ip, count, status_codes, bytes_out, http_user_agent 7| `http_rapid_post_with_mixed_status_codes_filter` Data Source Name Platform Sourcetype Source Nginx Access Other 'nginx:plus:kv' '/var/log/nginx/access.",NGINX,"Initial Access, Impact, Command And Control, Collection","T1190, T1071.001, T1595","`nginx_access_logs` http_method=""POST""
| bin _time span=5s 
| rename dest_ip as dest 
| stats count, values(status) as status_codes, values(bytes_out) as bytes_out, values(uri_path) as uris by _time, src_ip, dest, http_user_agent 
| where count>20 
| table _time, dest, src_ip, count, status_codes, bytes_out, http_user_agent 
| `http_rapid_post_with_mixed_status_codes_filter`"
Ivanti EPM SQL Injection Remote Code Execution,"This detection identifies potential exploitation of a critical SQL injection vulnerability in Ivanti Endpoint Manager (EPM), identified as CVE-2024-29824. The vulnerability, which has a CVSS score of 9.8, allows for remote code execution through the RecordGoodApp function in the PatchBiz.dll file. An attacker can exploit this vulnerability by manipulating the goodApp.md5 value in an HTTP POST request to the /WSStatusEvents/EventHandler.",Ivanti,"Initial Access, Execution, Discovery",T1190,"| tstats count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where Web.url IN (""/WSStatusEvents/EventHandler.asmx"") Web.http_method=POST Web.status=200 by Web.http_user_agent, Web.status Web.http_method, Web.url, Web.url_length, Web.src, Web.dest, sourcetype 
| `drop_dm_object_name(""Web"")` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `ivanti_epm_sql_injection_remote_code_execution_filter`"
Jenkins Arbitrary File Read CVE-2024-23897,"The following analytic identifies attempts to exploit Jenkins Arbitrary File Read CVE-2024-23897. It detects HTTP POST requests to Jenkins URLs containing &quot;/cli?remoting=false&quot; with a 200 status code. This activity is significant as it indicates potential unauthorized access to sensitive files on the Jenkins server, such as credentials and private keys. If confirmed malicious, this could lead to severe data breaches, unauthorized access, and further exploitation within the environment.",Zscaler Proxy,"Initial Access, Discovery",T1190,"| tstats count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where Web.url=""*/cli?remoting=false*"" Web.status=200 Web.http_method=POST by Web.src, Web.dest, Web.http_user_agent, Web.url Web.status, Web.http_method 
| `drop_dm_object_name(""Web"")` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `jenkins_arbitrary_file_read_cve_2024_23897_filter`"
JetBrains TeamCity Authentication Bypass Suricata CVE-2024-27198,"The following analytic detects attempts to exploit the CVE-2024-27198 vulnerability in JetBrains TeamCity on-premises servers, which allows attackers to bypass authentication mechanisms. It leverages Suricata HTTP traffic logs to identify suspicious POST requests to the /app/rest/users and /app/rest/users/id:1/tokens endpoints. This activity is significant because it can lead to unauthorized administrative access, enabling attackers to gain full control over the TeamCity server, including projects, builds, agents, and artifacts.",Zscaler Proxy,"Initial Access, Discovery",T1190,"`suricata` ((http.url=""*?jsp=*"" AND http.url=""*;.jsp*"") http.status=200 http_method=POST) OR (http.url IN (""*jsp=/app/rest/users;.jsp"",""*?jsp=/app/rest/users;.jsp"",""*?jsp=.*/app/rest/users/id:*/tokens;*"") http.status=200 http_method=POST ) 
| stats count min(_time) as firstTime max(_time) as lastTime by src, dest, http.http_user_agent, http.url, http.status,http_method 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`
| `jetbrains_teamcity_authentication_bypass_suricata_cve_2024_27198_filter`"
Multiple Archive Files Http Post Traffic,"The following analytic detects the high-frequency exfiltration of archive files via HTTP POST requests. It leverages HTTP stream logs to identify specific archive file headers within the request body. This activity is significant as it often indicates data exfiltration by APTs or trojan spyware after data collection. If confirmed malicious, this behavior could lead to the unauthorized transfer of sensitive data to an attacker’s command and control server, potentially resulting in severe data breaches and loss of confidential information.",Splunk Stream,"Collection, Command And Control, Exfiltration","T1560, T1048.003","`stream_http` http_method=POST 
|eval archive_hdr1=substr(form_data,1,2) 
| eval archive_hdr2 = substr(form_data,1,4) 
|stats values(form_data) as http_request_body min(_time) as firstTime max(_time) as lastTime count by src_ip dest_ip http_method http_user_agent uri_path url bytes_in bytes_out archive_hdr1 archive_hdr2 
|where count >20 AND (archive_hdr1 = ""7z"" OR archive_hdr1 = ""PK"" OR archive_hdr2=""Rar!"") 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `multiple_archive_files_http_post_traffic_filter`"
Nginx ConnectWise ScreenConnect Authentication Bypass,"The following analytic detects attempts to exploit the ConnectWise ScreenConnect CVE-2024-1709 vulnerability, which allows attackers to bypass authentication via alternate paths or channels. It leverages Nginx access logs to identify web requests to the SetupWizard.aspx page, indicating potential exploitation. This activity is significant as it can lead to unauthorized administrative access and remote code execution.",NGINX,"Initial Access, Execution",T1190,"`nginx_access_logs` uri_path IN (""*/SetupWizard.aspx/*"",""*/SetupWizard/"") status=200 http_method=POST  
| stats count min(_time) as firstTime max(_time) as lastTime by src, dest, http_user_agent, url, uri_path, status, http_method, sourcetype, source 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `nginx_connectwise_screenconnect_authentication_bypass_filter`"
WordPress Bricks Builder plugin RCE,"The following analytic identifies potential exploitation of the WordPress Bricks Builder plugin RCE vulnerability. It detects HTTP POST requests to the URL path &quot;/wp-json/bricks/v1/render_element&quot; with a status code of 200, leveraging the Web datamodel. This activity is significant as it indicates an attempt to exploit CVE-2024-25600, a known vulnerability that allows remote code execution.",Zscaler Proxy,"Initial Access, Execution",T1190,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Web where Web.url IN (""*/wp-json/bricks/v1/render_element"") Web.status=200 Web.http_method=POST by Web.src, Web.dest, Web.http_user_agent, Web.url, Web.uri_path, Web.status, Web.http_method, sourcetype, source 
| `drop_dm_object_name(""Web"")` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `wordpress_bricks_builder_plugin_rce_filter`"
Zscaler Phishing Activity Threat Blocked,"The following analytic identifies potential phishing attempts blocked by Zscaler within a network. It leverages web proxy logs to detect actions tagged as HTML.Phish. The detection method involves analyzing critical data points such as user, threat name, URL, and hostname. This activity is significant for a SOC as it serves as an early warning system for phishing threats, enabling prompt investigation and mitigation.",Zscaler Proxy,"Initial Access, Execution",T1566,"`zscaler_proxy` action=blocked threatname=""HTML.Phish*"" 
| stats count min(_time) as firstTime max(_time) as lastTime by action deviceowner user threatname url src dest 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `zscaler_phishing_activity_threat_blocked_filter`"
Cisco ASA - Core Syslog Message Volume Drop,"Adversaries may intentionally suppress or reduce the volume of core Cisco ASA syslog messages to evade detection or cover their tracks. This hunting search is recommended to proactively identify suspicious downward shifts or absences in key syslog message IDs, which may indicate tampering or malicious activity. Visualizing this data in Splunk dashboards enables security teams to quickly spot anomalies and investigate potential compromise.",Cisco ASA,"Execution, Defense Evasion",T1562,"`cisco_asa`
message_id IN (302013, 302014, 609002, 710005)
| eval msg_desc=case(
message_id=""302013"",""Built inbound TCP connection"",
message_id=""302014"",""Teardown TCP connection"",
message_id=""609002"",""Teardown local-host management"",
message_id=""710005"",""TCP request discarded""
)
| bin _time span=15m
| stats count values(msg_desc) as message_description
values(dest) as dest
by _time message_id
| xyseries _time message_id count
| `cisco_asa___core_syslog_message_volume_drop_filter`"
Advanced IP or Port Scanner Execution,"The following analytic detects the execution of network scanning utilities such as Advanced IP Scanner or Advanced Port Scanner. These legitimate administrative tools are often leveraged by threat actors and ransomware operators during the discovery phase to enumerate active hosts and open ports within a target environment. Detection is based on process creation telemetry referencing known executable names, original file names, or specific command-line parameters such as &quot;/portable&quot; and &quot;/lng&quot; that are characteristic of these tools.",Windows Events,"Lateral Movement, Execution, Discovery, Defense Evasion","T1046, T1135","| tstats `security_content_summariesonly`
count min(_time) as firstTime
max(_time) as lastTime
from datamodel=Endpoint.Processes where
Processes.process_name IN (""advanced_ip_scanner.exe"", ""advanced_ip_scanner_console.exe"", ""advanced_port_scanner.exe"", ""advanced_port_scanner_console.exe"")
OR
Processes.original_file_name IN (""advanced_ip_scanner.exe"", ""advanced_ip_scanner_console.exe"", ""advanced_port_scanner.exe"", ""advanced_port_scanner_console.exe"")
OR (
Processes.process = ""* /portable *""
Processes.process = ""* /lng *""
)
by Processes.action Processes.dest Processes.original_file_name Processes.parent_process
Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id
Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec
Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level
Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product
| `drop_dm_object_name(Processes)`
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`
| `advanced_ip_or_port_scanner_execution_filter`"
Windows Defender ASR or Threat Configuration Tamper,"The following analytic detects the use of commands to disable Attack Surface Reduction (ASR) rules or change threat default actions in Windows Defender. It leverages data from Endpoint Detection and Response (EDR) agents, focusing on command-line executions involving &quot;Add-MpPreference&quot; or &quot;Set-MpPreference&quot;. This activity is significant because adversaries often use it to bypass Windows Defender, allowing malicious code to execute undetected.",Windows Events,"Execution, Persistence, Defense Evasion",T1562.001,"| tstats `security_content_summariesonly` 
count min(_time) as firstTime 
max(_time) as lastTime 
from datamodel=Endpoint.Processes where 
Processes.process IN (""*Add-MpPreference *"", ""*Set-MpPreference *"")
Processes.process IN (
""*-AttackSurfaceReductionRules_Actions*"",
""*-ThreatIDDefaultAction_Actions*""
)
Processes.process IN (
""*Allow*"", 
""*NoAction*"", 
""*Disabled*"", 
""*_Actions 6*"", 
""*_Actions 9*"", 
""*_Actions 0*"")
by Processes.action Processes.dest Processes.original_file_name Processes.parent_process
Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id
Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec
Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level
Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`
| `windows_defender_asr_or_threat_configuration_tamper_filter`"
HTTP Scripting Tool User Agent,"This Splunk query analyzes web access logs to identify and categorize non-browser user agents, detecting various types of security tools, scripting languages, automation frameworks, and suspicious patterns. This activity can signify malicious actors attempting to interact with web endpoints in non-standard ways.
Search 1`nginx_access_logs` 2| eval http_user_agent = lower(http_user_agent) 3| `security_content_ctime(firstTime)` 4| `security_content_ctime(lastTime)` 5| `drop_dm_object_name(Web)` 6| lookup scripting_tools_user_agents tool_user_agent AS http_user_agent OUTPUT tool 7| where isnotnull(tool) 8| rename dest_ip as dest 9| stats count min(firstTime) as first_seen max(lastTime) as last_seen values(tool) as tool by http_user_agent dest src_ip status 10| `http_scripting_tool_user_agent_filter` Data Source Name Platform Sourcetype Source Nginx Access Other 'nginx:plus:kv' '/var/log/nginx/access.",NGINX,"Collection, Impact, Command And Control",T1071.001,"`nginx_access_logs` 
| eval http_user_agent = lower(http_user_agent) 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `drop_dm_object_name(Web)` 
| lookup scripting_tools_user_agents tool_user_agent AS http_user_agent OUTPUT tool 
| where isnotnull(tool) 
| rename dest_ip as dest 
| stats count min(firstTime) as first_seen max(lastTime) as last_seen values(tool) as tool by http_user_agent dest src_ip status 
| `http_scripting_tool_user_agent_filter`"
Linux Service Started Or Enabled,"The following analytic detects the creation or enabling of services on Linux platforms using the systemctl or service tools. It leverages Endpoint Detection and Response (EDR) logs, focusing on process names, parent processes, and command-line executions. This activity is significant as adversaries may create or modify services to maintain persistence or execute malicious payloads.",Linux,"Execution, Persistence, Privilege Escalation","T1543, T1053.006","| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where (Processes.process_name IN (""systemctl"", ""service"") OR Processes.process IN (""*systemctl *"", ""*service *"")) Processes.process IN (""* start *"", ""* enable *"") AND NOT (Processes.os=""Microsoft Windows"" OR Processes.vendor_product=""Microsoft Windows"") by Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `linux_service_started_or_enabled_filter`"
Windows Remote Management Execute Shell,"The following analytic detects the execution of winrshost.exe initiating CMD or PowerShell processes as part of a potential payload execution. winrshost.exe is associated with Windows Remote Management (WinRM) and is typically used for remote execution. By monitoring for this behavior, the detection identifies instances where winrshost.exe is leveraged to run potentially malicious commands or payloads via CMD or PowerShell.",Windows Events,"Lateral Movement, Execution",T1021.006,"| tstats `security_content_summariesonly` min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.parent_process_name=""winrshost.exe"" AND Processes.process_name IN (""cmd.exe"",""*powershell*"", ""pwsh.exe"") by Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product 
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `windows_remote_management_execute_shell_filter`"
Windows Set Network Profile Category to Private via Registry,"The following analytic detects attempts to modify the Windows Registry to change a network profile's category to &quot;Private&quot;, which may indicate an adversary is preparing the environment for lateral movement or reducing firewall restrictions. Specifically, this activity involves changes to the Category value within the HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\NetworkList\Profiles{GUID} registry path. A value of 1 corresponds to a private network profile, which typically enables less restrictive firewall policies.",Windows Events,"Lateral Movement, Execution, Persistence, Defense Evasion",T1112,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Registry WHERE Registry.registry_path = ""*\\SOFTWARE\\Microsoft\\Windows NT\\CurrentVersion\\NetworkList\\Profiles\\*"" Registry.registry_value_name = ""Category"" Registry.registry_value_data = 0x00000001 by Registry.action Registry.dest Registry.process_guid Registry.process_id Registry.registry_hive Registry.registry_path Registry.registry_key_name Registry.registry_value_data Registry.registry_value_name Registry.registry_value_type Registry.status Registry.user Registry.vendor_product 
| `drop_dm_object_name(Registry)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `windows_set_network_profile_category_to_private_via_registry_filter`"
Windows Symlink Evaluation Change via Fsutil,"This analytic detects the execution of the Windows built-in tool Fsutil.exe with the &quot;behavior&quot;, &quot;set&quot; and &quot;SymlinkEvaluation&quot; parameters. Attackers can abuse this to alter symlink evaluation behavior on Windows, potentially enabling remote traversal over SMB shares or evading defenses. Such changes should be uncommon or even rare in enterprise environments and should be investigated.",Windows Events,"Execution, Defense Evasion",T1222.001,"| tstats `security_content_summariesonly`
count min(_time) as firstTime max(_time) as lastTime
from datamodel=Endpoint.Processes where 
(
Processes.process_name=""fsutil.exe""
OR Processes.original_file_name=""fsutil.exe""
)
Processes.process=""*behavior*""
Processes.process=""*set*""
Processes.process=""*SymlinkEvaluation*""
by Processes.action Processes.dest Processes.original_file_name Processes.parent_process
Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id
Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec
Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level
Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product
| `drop_dm_object_name(Processes)`
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)`
| `windows_symlink_evaluation_change_via_fsutil_filter`"
Attempt To Add Certificate To Untrusted Store,The following analytic detects attempts to add a certificate to the untrusted certificate store using the 'certutil -addstore' command. It leverages process activity and command-line arguments from Endpoint Detection and Response (EDR) logs mapped to the Splunk Processes data model. This activity is significant as it may indicate an attacker trying to disable security tools to gain unauthorized access.,Windows Events,"Execution, Defense Evasion",T1553.004,"| tstats `security_content_summariesonly` count min(_time) as firstTime values(Processes.process) as process max(_time) as lastTime from datamodel=Endpoint.Processes where `process_certutil` (Processes.process=*-addstore*) by Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product 
| `drop_dm_object_name(""Processes"")` 
| `security_content_ctime(firstTime)` 
|`security_content_ctime(lastTime)` 
| `attempt_to_add_certificate_to_untrusted_store_filter`"
Windows Application Whitelisting Bypass Attempt via Rundll32,"The following analytic detects the execution of rundll32.exe calling one of the following DLLs:
Advpack.dll Ieadvpack.dll Syssetup.dll Setupapi.dll with one of the following functions: &quot;LaunchINFSection&quot;, &quot;InstallHinfSection&quot;, &quot;SetupInfObjectInstallAction&quot;. This method is identified through Endpoint Detection and Response (EDR) telemetry, focusing on command-line executions and process details. This activity is significant as it indicates a potential application control or whitelisting bypass, allowing script code execution from a file.",Windows Events,"Defense Evasion, Execution, Persistence, Privilege Escalation","T1218, T1218.011","| tstats `security_content_summariesonly` 
count min(_time) as firstTime 
max(_time) as lastTime 
from datamodel=Endpoint.Processes where 
`process_rundll32` 
Processes.process IN (""*syssetup*"", ""*advpack*"", ""*setupapi*"")
Processes.process IN (""*LaunchINFSection*"", ""*InstallHinfSection*"", ""*SetupInfObjectInstallAction*"")
by Processes.action Processes.dest Processes.original_file_name Processes.parent_process
Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id
Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec
Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level
Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`
| `windows_application_whitelisting_bypass_attempt_via_rundll32_filter`"
Windows Archived Collected Data In TEMP Folder,"The following analytic detects the creation of archived files in a temporary folder, which may contain collected data. This behavior is often associated with malicious activity, where attackers compress sensitive information before exfiltration. The detection focuses on monitoring specific directories, such as temp folders, for the presence of newly created archive files (e.g., .",Windows Events,"Collection, Execution, Exfiltration",T1560,"| tstats `security_content_summariesonly` 
count min(_time) as firstTime 
max(_time) as lastTime 
FROM datamodel=Endpoint.Filesystem where 
Filesystem.file_name IN (""*.zip"", ""*.rar"", ""*.tar"", ""*.7z"") 
Filesystem.file_path IN (""*\\AppData\\Local\\Temp\\*"", ""*\\Windows\\Temp\\*"")
by Filesystem.action Filesystem.dest Filesystem.file_access_time 
Filesystem.file_create_time Filesystem.file_hash Filesystem.file_modify_time 
Filesystem.file_name Filesystem.file_path Filesystem.file_acl Filesystem.file_size 
Filesystem.process_guid Filesystem.process_id Filesystem.user Filesystem.vendor_product 
| `drop_dm_object_name(Filesystem)` 
| `security_content_ctime(firstTime)`
| `security_content_ctime(lastTime)` 
| `windows_archived_collected_data_in_temp_folder_filter`"
Windows AutoIt3 Execution,"The following analytic detects the execution of AutoIt3, a scripting language often used for automating Windows GUI tasks and general scripting. It identifies instances where AutoIt3 or its variants are executed by searching for process names or original file names matching 'autoit3.exe'. This activity is significant because attackers frequently use AutoIt3 to automate malicious actions, such as executing malware.",Windows Events,Execution,T1059,"| tstats `security_content_summariesonly` 
count min(_time) as firstTime 
max(_time) as lastTime 
from datamodel=Endpoint.Processes where 
(
Processes.process_name = ""autoit*.exe"" 
OR 
Processes.original_file_name = ""autoit*.exe""
)
by Processes.action Processes.dest Processes.original_file_name 
Processes.parent_process Processes.parent_process_exec 
Processes.parent_process_guid Processes.parent_process_id
Processes.parent_process_name Processes.parent_process_path 
Processes.process Processes.process_exec Processes.process_guid 
Processes.process_hash Processes.process_id Processes.process_integrity_level
Processes.process_name Processes.process_path Processes.user 
Processes.user_id Processes.vendor_product
| `drop_dm_object_name(Processes)` 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)`
| `windows_autoit3_execution_filter`"
Windows Certutil Root Certificate Addition,"The following analytic detects the use of certutil.exe to add a certificate to the Root certificate store using the &quot;-addstore&quot; flag. In this case, the certificate is loaded from a temporary file path (e.g., %TEMP%) or other uncommon locations (e.g. C:\Users\Public\), which is highly suspicious and uncommon in legitimate administrative activity. This behavior may indicate an adversary is installing a malicious root certificate to intercept HTTPS traffic, impersonate trusted entities, or bypass security controls.",Windows Events,Execution,T1587.003,"| tstats `security_content_summariesonly` 
count min(_time) as firstTime 
max(_time) as lastTime
values(Processes.process) as process 
from datamodel=Endpoint.Processes where 
`process_certutil` 
Processes.process=*-addstore* 
Processes.process=*root*
Processes.process IN (
""*:\\PerfLogs\\*"",
""*:\\Windows\\Temp\\*"",
""*\\AppData\\Local\\Temp\\*"",
""*\\ProgramData\\*"",
""*\\Users\\Public\\*"",
""*%AppData%*"",
""*%Public%*"",
""*%Temp%*"",
""*%tmp%*""
)
by Processes.action Processes.dest Processes.original_file_name
Processes.parent_process Processes.parent_process_exec 
Processes.parent_process_guid Processes.parent_process_id 
Processes.parent_process_name Processes.parent_process_path
Processes.process Processes.process_exec Processes.process_guid 
Processes.process_hash Processes.process_id Processes.process_integrity_level 
Processes.process_name Processes.process_path Processes.user 
Processes.user_id Processes.vendor_product 
| `drop_dm_object_name(""Processes"")`
| `security_content_ctime(firstTime)` 
|`security_content_ctime(lastTime)` 
| `windows_certutil_root_certificate_addition_filter`"
HTTP Possible Request Smuggling,"HTTP request smuggling is a technique for interfering with the way a web site processes sequences of HTTP requests that are received from one or more users. Request smuggling vulnerabilities are often critical in nature, allowing an attacker to bypass security controls, gain unauthorized access to sensitive data, and directly compromise other application users.",Zscaler Proxy,"Command And Control, Impact",T1071.001,"`suricata` (http.request_headers{}.name=""*Content-Length*"" http.request_headers{}.name=""*Transfer-Encoding*"") OR (http.request_headers{}.name=""*Content-Length*"" http.request_headers{}.value=""*Transfer-Encoding*"") OR (http.request_headers{}.value=""*Content-Length*"" http.request_headers{}.name=""*Transfer-Encoding*"") OR (http.request_headers{}.name=""*Content-Length*"" http.request_headers{}.value=""0"") 
| rename dest_ip as dest 
| rex field=_raw ""request_headers.:\[(?<headers>.*)\]"" 
| stats count min(_time) as firstTime max(_time) as lastTime by dest, dest_port, src_ip, http.url, http.http_method, http.http_user_agent, http.protocol, http.status, headers 
| `security_content_ctime(firstTime)` 
| `security_content_ctime(lastTime)` 
| `http_possible_request_smuggling_filter`"
